Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score
24.0,76.0,Medium,Medium,Yes,7.0,74.0,Medium,Yes,1,Medium,Low,Public,Positive,3.0,No,Female,100.0
10.0,72.0,High,Medium,Yes,9.0,77.0,Medium,No,1,Medium,Medium,Public,Positive,4.0,No,Female,91.5
17.0,70.0,High,High,Yes,8.0,67.0,Medium,Yes,1,High,High,Public,Negative,3.0,No,Female,91.2
27.0,60.0,High,High,No,6.0,89.0,High,Yes,1,High,Low,Public,Positive,4.0,No,Male,100.0
20.0,100.0,Low,High,Yes,9.0,61.0,Medium,Yes,2,High,Medium,Public,Positive,3.0,No,Male,100.0
14.0,69.0,Medium,High,Yes,8.0,81.0,Low,Yes,3,Low,Medium,Public,Neutral,6.0,No,Male,92.2
16.0,78.0,Low,High,Yes,6.0,89.0,Low,Yes,1,Low,High,Public,Neutral,6.0,No,Male,86.4
24.0,77.0,Low,Medium,No,6.0,81.0,High,Yes,3,Low,Medium,Public,Positive,3.0,No,Male,100.0
16.0,83.0,Low,High,Yes,7.0,73.0,Low,Yes,2,Medium,High,Private,Negative,3.0,No,Male,85.6
21.0,88.0,Medium,High,No,8.0,69.0,Low,Yes,3,Medium,Low,Public,Neutral,3.0,Yes,Female,98.4
20.0,89.0,Low,Medium,Yes,7.0,87.0,Low,No,2,Medium,High,Public,Neutral,3.0,No,Female,97.6
16.0,74.0,Medium,Low,Yes,7.0,58.0,Medium,Yes,4,Medium,Medium,Public,Positive,2.0,No,Female,97.1
33.0,78.0,High,High,No,9.0,63.0,Medium,Yes,2,High,Medium,Private,Negative,1.0,No,Male,100.0
24.0,83.0,Medium,Medium,Yes,8.0,70.0,High,Yes,1,Medium,Medium,Private,Positive,5.0,No,Female,100.0
8.0,78.0,Medium,High,Yes,7.0,90.0,High,Yes,1,High,High,Public,Positive,5.0,Yes,Female,100.0
21.0,96.0,Medium,Low,Yes,8.0,80.0,Medium,Yes,0,Low,Low,Private,Positive,5.0,No,Male,95.7
16.0,85.0,Medium,Low,No,6.0,63.0,Medium,Yes,1,Low,Low,Public,Neutral,3.0,No,Male,79.5
25.0,87.0,Low,Medium,No,8.0,71.0,Low,Yes,1,High,Medium,Private,Neutral,6.0,Yes,Male,96.4
15.0,87.0,Medium,Medium,Yes,9.0,68.0,Low,Yes,3,Medium,High,Public,Neutral,3.0,No,Male,89.2
19.0,92.0,Medium,Medium,No,7.0,66.0,Low,Yes,1,Medium,High,Public,Positive,4.0,No,Male,94.0
23.0,82.0,High,Medium,Yes,6.0,87.0,Low,Yes,0,Low,Medium,Public,Neutral,1.0,No,Male,94.9
25.0,67.0,High,Low,No,6.0,59.0,Low,No,2,Low,Medium,Public,Neutral,3.0,No,Male,100.0
13.0,84.0,Medium,Low,Yes,6.0,94.0,Low,Yes,0,Medium,Low,Public,Positive,3.0,No,Male,81.1
18.0,73.0,Medium,Medium,No,6.0,85.0,Medium,Yes,0,High,High,Public,Negative,3.0,No,Female,91.2
17.0,75.0,Low,Low,No,7.0,88.0,High,No,2,High,High,Public,Positive,1.0,No,Male,93.5
16.0,86.0,High,High,No,5.0,69.0,Medium,Yes,2,Medium,Medium,Public,Neutral,4.0,No,Female,97.0
31.0,92.0,Medium,Medium,Yes,7.0,73.0,High,Yes,1,Medium,Medium,Public,Positive,5.0,Yes,Male,100.0
22.0,80.0,Low,Low,No,8.0,58.0,Medium,Yes,1,High,High,Private,Neutral,2.0,No,Male,98.3
12.0,83.0,Low,Medium,Yes,6.0,69.0,Medium,Yes,0,Medium,High,Private,Negative,1.0,No,Female,78.0
26.0,97.0,Low,Low,No,9.0,81.0,Medium,Yes,1,Medium,Medium,Private,Negative,2.0,No,Female,98.1
33.0,82.0,High,Low,Yes,8.0,91.0,Low,Yes,1,High,Medium,Private,Positive,4.0,No,Male,100.0
26.0,100.0,Low,Medium,Yes,8.0,62.0,Low,Yes,1,High,Medium,Public,Neutral,2.0,No,Female,100.0
11.0,86.0,Medium,High,Yes,6.0,71.0,High,Yes,4,High,Medium,Public,Positive,3.0,No,Female,97.3
17.0,62.0,Medium,High,Yes,8.0,73.0,High,Yes,2,Low,Medium,Public,Negative,1.0,No,Male,97.5
28.0,88.0,Medium,High,No,6.0,58.0,Low,Yes,2,Medium,Medium,Public,Neutral,6.0,No,Male,100.0
16.0,84.0,High,Medium,No,8.0,82.0,Low,Yes,1,High,Medium,Public,Positive,3.0,No,Female,91.0
23.0,93.0,High,Medium,No,7.0,66.0,Medium,Yes,5,Low,Medium,Private,Positive,5.0,No,Male,100.0
25.0,87.0,Medium,Medium,No,8.0,73.0,Low,Yes,1,High,Medium,Public,Negative,4.0,No,Male,95.3
14.0,79.0,Low,High,No,5.0,70.0,Medium,Yes,3,Low,Medium,Private,Neutral,3.0,No,Male,90.2
20.0,68.0,Medium,High,Yes,6.0,66.0,Low,Yes,1,High,High,Public,Positive,3.0,No,Female,94.7
1.0,78.0,Medium,Low,Yes,8.0,75.0,Medium,Yes,2,Medium,Medium,Private,Positive,2.0,No,Female,82.6
14.0,71.0,Medium,Low,Yes,6.0,72.0,Low,Yes,2,Low,Low,Public,Positive,2.0,No,Female,83.7
18.0,74.0,Medium,Medium,Yes,8.0,71.0,Medium,Yes,0,Medium,Medium,Public,Neutral,1.0,No,Female,91.5
13.0,86.0,Low,High,Yes,5.0,66.0,Low,Yes,1,Medium,High,Private,Negative,1.0,No,Female,82.6
30.0,97.0,Medium,High,Yes,8.0,79.0,Medium,Yes,3,Medium,High,Public,Negative,6.0,No,Female,100.0
11.0,84.0,Low,Medium,Yes,5.0,95.0,High,No,2,Medium,Medium,Public,Neutral,3.0,No,Female,98.5
17.0,68.0,High,High,Yes,8.0,77.0,Medium,No,2,High,High,Public,Negative,5.0,No,Female,99.3
21.0,84.0,Medium,Medium,No,8.0,87.0,High,No,2,Medium,Low,Public,Neutral,2.0,No,Male,98.6
29.0,92.0,Medium,High,Yes,6.0,58.0,High,No,0,Medium,High,Public,Positive,1.0,No,Female,100.0
11.0,74.0,Low,High,Yes,8.0,77.0,High,Yes,4,Low,Medium,Public,Negative,2.0,No,Female,91.6
27.0,79.0,Medium,High,No,7.0,62.0,High,Yes,0,High,Low,Public,Positive,2.0,No,Female,100.0
20.0,80.0,Medium,Medium,Yes,6.0,57.0,Medium,Yes,2,Low,Medium,Public,Positive,3.0,No,Female,100.0
14.0,72.0,Low,Low,Yes,6.0,66.0,High,Yes,1,Medium,Medium,Public,Negative,3.0,No,Female,86.4
23.0,86.0,High,Medium,Yes,4.0,89.0,Low,Yes,0,High,Medium,Private,Positive,2.0,No,Female,100.0
21.0,79.0,Medium,Medium,Yes,7.0,86.0,Medium,Yes,0,Low,High,Private,Neutral,3.0,No,Female,100.0
16.0,84.0,Medium,High,Yes,5.0,78.0,High,Yes,2,Medium,High,Public,Negative,3.0,No,Male,100.0
20.0,71.0,Medium,Low,Yes,7.0,57.0,High,Yes,2,Low,Medium,Public,Neutral,4.0,No,Male,94.5
18.0,76.0,Medium,Medium,No,7.0,73.0,High,Yes,0,High,Medium,Public,Positive,5.0,No,Female,97.7
21.0,87.0,Medium,High,No,8.0,79.0,High,Yes,0,Medium,Low,Private,Positive,2.0,No,Male,100.0
24.0,76.0,Medium,Low,Yes,7.0,77.0,High,No,2,High,Low,Private,Positive,5.0,No,Male,100.0
30.0,97.0,Medium,Medium,Yes,7.0,53.0,Medium,Yes,2,High,Medium,Private,Neutral,3.0,Yes,Male,100.0
13.0,76.0,Medium,Medium,Yes,8.0,64.0,High,No,1,Medium,Low,Public,Neutral,1.0,No,Female,90.8
33.0,82.0,Low,Medium,No,7.0,74.0,Medium,Yes,2,Medium,Medium,Public,Neutral,6.0,Yes,Male,100.0
8.0,89.0,Low,Low,Yes,7.0,81.0,High,Yes,1,Medium,Medium,Public,Neutral,6.0,No,Female,82.6
19.0,66.0,Low,High,No,8.0,49.0,High,Yes,3,Medium,Low,Public,Neutral,4.0,No,Female,92.1
24.0,62.0,Medium,Medium,No,5.0,73.0,High,Yes,1,Medium,Medium,Public,Neutral,3.0,No,Male,100.0
22.0,65.0,Medium,High,Yes,8.0,77.0,Medium,Yes,1,High,Low,Public,Negative,3.0,No,Male,85.5
16.0,93.0,High,Medium,Yes,8.0,85.0,Medium,Yes,6,Medium,Medium,Private,Positive,2.0,No,Female,100.0
19.0,74.0,Low,Medium,Yes,6.0,83.0,Low,Yes,1,Medium,High,Public,Negative,5.0,Yes,Female,80.9
17.0,100.0,High,Low,Yes,7.0,82.0,High,No,1,Medium,Medium,Private,Neutral,3.0,No,Male,100.0
16.0,74.0,Medium,Low,Yes,7.0,65.0,Medium,Yes,2,Medium,Low,Public,Positive,6.0,No,Male,74.5
25.0,82.0,High,Medium,Yes,7.0,52.0,Low,Yes,0,Low,Medium,Private,Positive,3.0,No,Male,100.0
22.0,95.0,Medium,Low,Yes,7.0,70.0,Low,Yes,1,Medium,Low,Private,Positive,2.0,No,Male,91.6
16.0,100.0,Medium,Medium,Yes,9.0,87.0,High,Yes,0,Medium,Medium,Private,Neutral,2.0,No,Male,100.0
25.0,100.0,Low,Medium,No,8.0,92.0,High,Yes,0,Medium,Medium,Private,Positive,2.0,Yes,Male,100.0
22.0,92.0,Low,Medium,Yes,5.0,84.0,High,Yes,1,Medium,Medium,Private,Negative,4.0,No,Female,92.3
25.0,90.0,Low,Low,No,8.0,80.0,Medium,Yes,3,Medium,High,Public,Neutral,1.0,No,Female,100.0
24.0,86.0,Medium,High,No,9.0,80.0,Medium,Yes,2,High,Medium,Public,Negative,2.0,No,Female,100.0
15.0,88.0,Medium,High,No,8.0,68.0,Medium,Yes,0,High,Low,Public,Positive,5.0,No,Female,94.4
17.0,74.0,High,Low,No,8.0,73.0,Low,Yes,2,Medium,Medium,Private,Positive,2.0,No,Female,90.6
24.0,72.0,Medium,Low,Yes,10.0,95.0,High,Yes,1,Low,High,Private,Positive,4.0,Yes,Female,100.0
24.0,80.0,High,High,Yes,8.0,64.0,Low,Yes,3,High,Low,Public,Positive,0.0,No,Male,100.0
20.0,78.0,Low,Low,No,7.0,94.0,Medium,Yes,2,Medium,Medium,Public,Negative,5.0,No,Male,97.0
21.0,75.0,Low,High,No,8.0,71.0,Medium,Yes,1,Medium,Medium,Public,Positive,1.0,No,Female,100.0
28.0,87.0,Medium,Low,No,7.0,91.0,Medium,Yes,0,Low,Medium,Private,Neutral,2.0,No,Female,100.0
16.0,90.0,Medium,High,No,7.0,58.0,High,Yes,3,Low,High,Public,Positive,4.0,No,Male,100.0
23.0,81.0,Medium,Medium,Yes,7.0,82.0,Low,Yes,3,Low,Medium,Public,Neutral,3.0,No,Male,99.2
19.0,95.0,High,High,Yes,9.0,66.0,High,Yes,2,Low,Medium,Public,Negative,4.0,No,Female,100.0
19.0,69.0,Low,Medium,Yes,6.0,58.0,Low,Yes,2,High,High,Public,Neutral,1.0,No,Male,91.6
27.0,78.0,Medium,Medium,Yes,9.0,78.0,Low,Yes,0,Medium,Medium,Public,Neutral,3.0,No,Male,100.0
25.0,73.0,High,Low,Yes,8.0,87.0,Medium,No,0,Medium,Medium,Public,Positive,2.0,No,Female,100.0
25.0,61.0,Low,Medium,No,5.0,65.0,Low,Yes,1,High,Medium,Private,Negative,1.0,No,Female,86.9
28.0,79.0,High,High,No,7.0,57.0,High,Yes,1,High,Medium,Public,Neutral,4.0,Yes,Female,100.0
20.0,79.0,High,Medium,Yes,4.0,74.0,Medium,Yes,1,High,High,Public,Neutral,4.0,Yes,Female,94.6
24.0,95.0,Low,High,No,8.0,74.0,Low,Yes,1,High,Medium,Private,Neutral,2.0,No,Female,100.0
18.0,86.0,Medium,Medium,No,8.0,82.0,Low,Yes,2,Medium,Medium,Private,Negative,5.0,No,Female,89.8
22.0,70.0,Medium,High,No,6.0,86.0,Medium,Yes,1,High,High,Private,Neutral,2.0,No,Male,100.0
19.0,99.0,High,Medium,Yes,7.0,74.0,High,Yes,2,Medium,Medium,Public,Neutral,5.0,No,Male,100.0
21.0,92.0,Medium,High,No,10.0,97.0,Medium,Yes,0,Low,Low,Private,Neutral,4.0,No,Female,100.0
24.0,86.0,Medium,High,No,6.0,78.0,Medium,Yes,2,Medium,Medium,Public,Positive,1.0,No,Male,100.0
15.0,78.0,High,Medium,Yes,6.0,71.0,High,Yes,1,Medium,High,Private,Neutral,6.0,No,Male,100.0
33.0,70.0,Low,High,Yes,9.0,56.0,Medium,Yes,1,High,High,Public,Neutral,2.0,Yes,Male,100.0
14.0,76.0,High,High,No,10.0,72.0,Low,Yes,3,Medium,Medium,Public,Neutral,5.0,No,Male,91.5
13.0,91.0,Medium,Medium,Yes,7.0,71.0,Medium,No,1,Medium,Medium,Public,Neutral,3.0,No,Male,97.8
27.0,99.0,Medium,Medium,Yes,8.0,87.0,Medium,Yes,2,Low,High,Public,Positive,4.0,No,Female,100.0
25.0,95.0,High,Low,Yes,9.0,81.0,Medium,Yes,0,Medium,Medium,Private,Neutral,4.0,No,Male,100.0
24.0,75.0,Medium,High,No,6.0,61.0,Medium,Yes,1,Low,High,Public,Negative,4.0,Yes,Male,88.5
24.0,69.0,Low,Low,No,6.0,77.0,High,No,1,Medium,Medium,Public,Negative,2.0,Yes,Female,89.6
20.0,81.0,Medium,Low,Yes,9.0,83.0,Low,Yes,1,High,Low,Public,Positive,4.0,No,Female,100.0
15.0,62.0,Medium,Medium,Yes,9.0,93.0,High,Yes,2,Low,Medium,Public,Neutral,4.0,Yes,Male,94.6
20.0,83.0,Low,Medium,No,8.0,86.0,Medium,Yes,1,Medium,Medium,Private,Negative,3.0,No,Female,95.5
16.0,79.0,High,High,No,6.0,84.0,Medium,Yes,2,Low,Medium,Private,Neutral,3.0,No,Female,100.0
26.0,75.0,Low,High,No,10.0,76.0,Low,Yes,2,Low,High,Private,Neutral,3.0,No,Female,100.0
19.0,64.0,Medium,Medium,Yes,6.0,80.0,Medium,Yes,2,Medium,Medium,Public,Negative,6.0,No,Male,95.0
15.0,85.0,Medium,Low,Yes,7.0,90.0,High,Yes,1,Low,High,Public,Neutral,3.0,No,Female,100.0
18.0,75.0,Low,High,Yes,7.0,59.0,Medium,Yes,1,Medium,Medium,Public,Neutral,5.0,No,Female,85.9
22.0,68.0,High,Medium,No,9.0,71.0,Low,No,0,Low,High,Public,Positive,2.0,No,Female,98.8
17.0,60.0,High,Medium,Yes,8.0,66.0,Medium,No,1,Low,High,Public,Positive,2.0,No,Male,99.6
15.0,80.0,Medium,Medium,Yes,8.0,80.0,Low,Yes,0,Medium,Medium,Private,Positive,6.0,No,Female,84.1
21.0,98.0,Low,Medium,Yes,8.0,90.0,High,Yes,1,Medium,Medium,Public,Negative,4.0,No,Female,100.0
21.0,97.0,Low,Medium,Yes,7.0,68.0,High,Yes,2,Low,Medium,Public,Neutral,4.0,No,Male,100.0
17.0,75.0,Medium,High,No,8.0,46.0,Low,No,1,Medium,Medium,Public,Neutral,4.0,No,Male,90.3
17.0,74.0,Medium,Medium,Yes,4.0,70.0,High,Yes,0,High,Medium,Public,Negative,5.0,No,Female,98.3
21.0,85.0,Medium,High,No,7.0,86.0,High,Yes,1,Medium,High,Private,Neutral,4.0,No,Male,100.0
11.0,70.0,High,Medium,No,7.0,81.0,Medium,Yes,2,Low,High,Public,Neutral,4.0,Yes,Female,88.7
12.0,83.0,Medium,Medium,Yes,6.0,80.0,Medium,Yes,2,Medium,Medium,Public,Positive,1.0,Yes,Male,81.9
16.0,88.0,High,High,No,8.0,72.0,Medium,Yes,0,Medium,Medium,Public,Negative,4.0,No,Male,93.0
19.0,92.0,Medium,Medium,No,7.0,60.0,Medium,Yes,2,Low,Medium,Private,Positive,3.0,No,Female,95.5
22.0,79.0,Medium,Medium,No,9.0,81.0,Medium,Yes,2,High,Medium,Private,Positive,4.0,No,Male,100.0
29.0,78.0,High,Medium,Yes,9.0,65.0,Medium,Yes,1,High,Medium,Public,Positive,0.0,No,Female,100.0
25.0,71.0,Medium,Medium,Yes,6.0,100.0,Medium,Yes,0,High,High,Public,Positive,4.0,No,Female,100.0
19.0,72.0,Medium,High,Yes,7.0,82.0,Low,No,1,High,Medium,Public,Positive,0.0,No,Female,100.0
20.0,78.0,Medium,Medium,No,7.0,68.0,High,Yes,2,Medium,Low,Public,Neutral,3.0,No,Female,100.0
14.0,84.0,Low,High,No,6.0,68.0,Medium,Yes,2,Medium,High,Private,Positive,0.0,No,Female,100.0
20.0,89.0,High,Low,No,7.0,74.0,Medium,No,3,Medium,Medium,Private,Neutral,4.0,No,Male,95.7
18.0,72.0,Medium,Medium,Yes,6.0,72.0,High,Yes,2,High,High,Private,Positive,3.0,No,Female,100.0
22.0,95.0,High,High,Yes,6.0,88.0,Medium,Yes,1,Medium,Low,Public,Positive,2.0,Yes,Male,100.0
15.0,77.0,High,High,No,8.0,77.0,Medium,Yes,0,Medium,Low,Private,Neutral,5.0,No,Male,100.0
23.0,80.0,Low,Low,Yes,8.0,66.0,High,Yes,2,Medium,High,Public,Negative,2.0,No,Female,100.0
29.0,73.0,Medium,Medium,No,6.0,98.0,High,Yes,0,High,Low,Private,Negative,0.0,Yes,Female,100.0
19.0,60.0,Medium,Medium,Yes,8.0,76.0,Low,Yes,2,Low,High,Public,Negative,4.0,No,Male,89.7
22.0,89.0,Medium,Medium,Yes,6.0,84.0,Medium,Yes,4,Medium,High,Public,Neutral,0.0,No,Male,100.0
24.0,87.0,High,High,Yes,7.0,68.0,High,Yes,2,High,Medium,Public,Neutral,2.0,No,Female,100.0
18.0,77.0,Medium,High,Yes,8.0,79.0,Medium,Yes,0,Medium,Low,Public,Neutral,2.0,No,Male,88.4
21.0,81.0,Medium,Medium,Yes,7.0,79.0,Medium,Yes,2,High,Medium,Public,Neutral,1.0,Yes,Female,100.0
20.0,85.0,Medium,High,Yes,8.0,52.0,Low,Yes,1,Medium,High,Private,Positive,2.0,No,Female,100.0
21.0,64.0,Low,Medium,Yes,6.0,99.0,Low,No,1,Low,Medium,Public,Neutral,1.0,Yes,Male,97.7
15.0,75.0,High,Low,Yes,7.0,90.0,Medium,Yes,2,High,Medium,Public,Positive,3.0,No,Male,100.0
20.0,88.0,Medium,Medium,Yes,7.0,70.0,High,Yes,3,Low,Medium,Public,Neutral,1.0,No,Female,100.0
23.0,67.0,High,High,No,6.0,62.0,High,Yes,0,Medium,Low,Public,Neutral,3.0,No,Male,100.0
29.0,83.0,Medium,High,Yes,7.0,79.0,High,Yes,4,Medium,High,Private,Positive,5.0,No,Male,100.0
26.0,66.0,Low,Medium,No,5.0,76.0,Low,Yes,1,Low,High,Public,Positive,4.0,No,Male,96.8
33.0,85.0,Medium,Medium,No,6.0,79.0,Low,Yes,0,Medium,High,Public,Positive,3.0,No,Male,100.0
15.0,80.0,Low,High,No,7.0,77.0,High,Yes,0,Medium,Medium,Private,Negative,2.0,Yes,Male,84.5
25.0,64.0,High,Medium,No,7.0,81.0,Medium,Yes,2,Medium,High,Private,Positive,3.0,No,Female,100.0
21.0,92.0,Low,Medium,Yes,7.0,92.0,Medium,Yes,0,High,Medium,Public,Positive,2.0,No,Female,99.3
33.0,73.0,High,High,No,7.0,82.0,High,Yes,4,Low,Medium,Private,Negative,3.0,No,Female,100.0
15.0,72.0,Medium,High,No,8.0,62.0,Medium,Yes,1,Low,Medium,Public,Neutral,0.0,No,Female,89.0
15.0,82.0,Medium,Medium,No,8.0,91.0,Low,Yes,0,Medium,High,Private,Positive,4.0,No,Male,100.0
16.0,91.0,Low,Medium,Yes,6.0,95.0,High,Yes,3,Medium,High,Public,Positive,3.0,No,Male,100.0
7.0,70.0,Medium,Medium,Yes,5.0,100.0,High,Yes,1,High,High,Private,Positive,6.0,No,Female,99.4
17.0,81.0,Medium,Low,Yes,6.0,62.0,Low,Yes,1,Low,High,Public,Positive,5.0,No,Female,81.8
15.0,84.0,Medium,High,No,6.0,78.0,High,Yes,1,High,High,Public,Positive,4.0,No,Female,100.0
21.0,87.0,High,Medium,No,7.0,50.0,Medium,No,1,Medium,Low,Public,Neutral,3.0,No,Female,93.2
22.0,82.0,Medium,High,Yes,6.0,82.0,Medium,Yes,2,Medium,High,Public,Negative,2.0,No,Female,100.0
31.0,76.0,Medium,Low,Yes,5.0,68.0,High,Yes,0,Low,Medium,Private,Neutral,4.0,Yes,Male,100.0
26.0,72.0,Medium,Medium,No,6.0,98.0,High,Yes,2,Medium,Medium,Public,Neutral,3.0,No,Female,100.0
17.0,81.0,Low,Low,Yes,7.0,66.0,Low,No,4,Low,Low,Public,Positive,5.0,No,Female,88.5
15.0,69.0,High,High,No,8.0,55.0,Low,Yes,0,Low,Medium,Public,Positive,4.0,Yes,Female,96.6
23.0,60.0,Medium,Medium,No,6.0,69.0,Low,Yes,2,Medium,Medium,Public,Negative,4.0,No,Female,87.4
12.0,84.0,Low,Medium,Yes,6.0,51.0,Medium,Yes,1,High,Medium,Private,Positive,4.0,No,Female,85.1
31.0,89.0,Medium,Low,No,6.0,84.0,Low,Yes,2,Medium,Medium,Public,Negative,2.0,No,Female,100.0
27.0,60.0,Medium,Medium,Yes,7.0,50.0,Medium,Yes,1,Medium,High,Public,Neutral,1.0,Yes,Female,86.9
17.0,70.0,Medium,Low,No,6.0,75.0,Low,Yes,2,Medium,High,Private,Negative,1.0,No,Female,87.4
10.0,86.0,Medium,Medium,No,8.0,50.0,Medium,Yes,2,Medium,Medium,Private,Positive,5.0,No,Female,82.0
28.0,100.0,Low,Medium,No,5.0,71.0,Low,No,0,High,Medium,Public,Positive,2.0,No,Female,100.0
19.0,80.0,Medium,Medium,Yes,7.0,95.0,High,Yes,3,Medium,Medium,Public,Neutral,2.0,No,Male,100.0
27.0,73.0,High,Medium,Yes,7.0,79.0,Low,Yes,0,Low,Medium,Private,Neutral,4.0,No,Female,100.0
10.0,78.0,Low,Medium,Yes,7.0,65.0,Medium,No,3,Low,Low,Private,Positive,3.0,No,Female,87.8
16.0,94.0,High,Medium,Yes,10.0,75.0,High,Yes,2,Medium,High,Private,Negative,2.0,No,Female,100.0
20.0,74.0,Low,Medium,Yes,7.0,75.0,Medium,Yes,1,Medium,Medium,Private,Positive,2.0,No,Male,100.0
20.0,72.0,High,Low,Yes,6.0,81.0,Low,Yes,5,Low,Low,Private,Positive,0.0,No,Female,100.0
17.0,75.0,Medium,High,Yes,7.0,59.0,Low,Yes,0,High,Medium,Private,Neutral,2.0,No,Male,86.7
24.0,70.0,Medium,Medium,Yes,5.0,82.0,Medium,Yes,1,Medium,Medium,Private,Neutral,5.0,No,Female,100.0
14.0,81.0,Low,Low,Yes,7.0,43.0,Medium,Yes,1,Medium,Medium,Public,Negative,2.0,No,Male,86.5
19.0,96.0,Low,Low,No,6.0,67.0,High,No,0,Low,Low,Public,Neutral,0.0,No,Female,87.2
21.0,83.0,Low,High,No,8.0,69.0,Medium,Yes,1,Medium,High,Public,Positive,1.0,No,Male,100.0
23.0,77.0,Low,High,Yes,6.0,83.0,Medium,Yes,1,High,Medium,Public,Neutral,4.0,No,Male,100.0
24.0,77.0,Medium,Medium,Yes,7.0,75.0,Medium,Yes,1,High,Low,Private,Positive,4.0,No,Female,100.0
13.0,64.0,Medium,Medium,Yes,6.0,58.0,Medium,Yes,2,Low,Low,Private,Neutral,3.0,Yes,Male,86.9
11.0,89.0,Medium,Medium,Yes,9.0,63.0,High,Yes,2,Low,Medium,Private,Neutral,2.0,No,Female,90.0
28.0,79.0,High,High,Yes,7.0,77.0,Low,Yes,1,Medium,Low,Private,Positive,1.0,No,Female,100.0
22.0,78.0,Medium,High,No,9.0,74.0,Medium,Yes,1,Medium,Low,Public,Neutral,4.0,No,Female,96.8
16.0,100.0,Medium,Medium,No,7.0,68.0,Low,Yes,2,Medium,Medium,Private,Neutral,4.0,No,Male,93.6
29.0,83.0,Medium,High,No,8.0,69.0,Medium,Yes,0,High,Medium,Public,Neutral,5.0,No,Female,100.0
21.0,72.0,Medium,High,Yes,7.0,83.0,High,Yes,0,Medium,Low,Public,Neutral,1.0,No,Male,100.0
27.0,76.0,Medium,Medium,No,8.0,69.0,Medium,Yes,2,Low,Medium,Public,Positive,5.0,No,Female,100.0
20.0,91.0,High,Medium,No,4.0,74.0,High,Yes,1,High,Medium,Private,Positive,3.0,No,Female,100.0
32.0,81.0,Low,Low,Yes,7.0,100.0,Medium,Yes,1,Low,Low,Public,Positive,3.0,No,Male,100.0
31.0,66.0,Low,Low,Yes,8.0,58.0,High,Yes,1,High,Medium,Private,Positive,4.0,No,Male,100.0
19.0,89.0,Medium,High,Yes,7.0,53.0,High,No,0,Medium,Low,Public,Neutral,2.0,No,Male,100.0
26.0,73.0,Low,Medium,Yes,5.0,84.0,Low,Yes,0,High,Low,Public,Negative,0.0,No,Female,98.0
24.0,99.0,High,High,No,7.0,67.0,Low,No,2,Low,Medium,Public,Neutral,4.0,Yes,Male,100.0
28.0,91.0,High,High,Yes,9.0,71.0,Medium,Yes,0,Low,Medium,Public,Neutral,4.0,No,Female,100.0
14.0,76.0,Low,Low,Yes,9.0,66.0,Low,No,0,Medium,Low,Private,Neutral,2.0,No,Female,76.2
24.0,93.0,Low,Medium,Yes,7.0,72.0,Medium,Yes,1,Medium,Medium,Public,Positive,4.0,No,Female,100.0
26.0,81.0,Medium,High,Yes,8.0,94.0,Medium,Yes,3,Medium,High,Private,Negative,4.0,No,Female,100.0
9.0,89.0,Medium,High,No,7.0,85.0,High,Yes,0,High,Medium,Private,Negative,1.0,No,Male,97.2
13.0,85.0,Medium,High,No,5.0,85.0,Medium,Yes,3,High,High,Private,Neutral,3.0,No,Female,100.0
8.0,72.0,Medium,Medium,No,6.0,58.0,High,Yes,3,Medium,High,Public,Positive,0.0,No,Female,84.8
18.0,74.0,Medium,Medium,Yes,9.0,61.0,High,Yes,2,Low,High,Private,Neutral,3.0,No,Female,96.5
24.0,90.0,Medium,Medium,No,7.0,41.0,High,Yes,1,Medium,High,Public,Positive,2.0,No,Male,100.0
29.0,77.0,Low,High,Yes,7.0,65.0,Low,Yes,1,Medium,Medium,Public,Neutral,4.0,No,Male,97.3
20.0,76.0,High,Medium,No,7.0,86.0,Medium,No,2,Medium,Medium,Public,Negative,1.0,No,Male,98.5
30.0,70.0,Low,High,Yes,9.0,81.0,Medium,Yes,1,High,Low,Private,Positive,2.0,No,Male,100.0
12.0,84.0,High,Medium,Yes,9.0,72.0,Medium,Yes,3,Low,Medium,Public,Negative,0.0,No,Male,87.3
10.0,100.0,Medium,High,Yes,10.0,75.0,Medium,Yes,1,Low,High,Public,Negative,4.0,No,Male,97.7
20.0,69.0,Medium,Medium,Yes,7.0,67.0,High,Yes,1,Low,Medium,Public,Negative,3.0,No,Female,95.9
22.0,80.0,High,Medium,No,7.0,77.0,Medium,Yes,1,High,Medium,Public,Neutral,3.0,Yes,Male,96.2
20.0,94.0,High,Medium,Yes,5.0,84.0,Medium,Yes,3,Medium,Medium,Public,Positive,1.0,No,Female,100.0
8.0,79.0,Medium,Medium,Yes,9.0,56.0,High,Yes,2,Medium,Medium,Private,Neutral,4.0,No,Male,75.5
19.0,85.0,Low,Medium,Yes,5.0,79.0,Low,No,0,Low,Medium,Public,Neutral,5.0,No,Female,86.2
12.0,69.0,High,Low,No,7.0,86.0,Medium,Yes,3,Low,Medium,Private,Positive,3.0,No,Female,90.0
24.0,84.0,Medium,Low,Yes,6.0,70.0,High,Yes,2,Low,Medium,Public,Neutral,4.0,No,Female,98.1
22.0,78.0,Low,Medium,No,6.0,83.0,Low,Yes,2,Medium,Medium,Private,Neutral,2.0,No,Female,100.0
